Mile Svilar	GK	82
Gerónimo Rulli	GK	82
Guglielmo Vicario	GK	82
Ivan Provedel	GK	82
Koen Casteels	GK	82
Alex Meret	GK	82
Yassine Bounou	GK	82
Michele Di Gregorio	GK	81
Dean Henderson	GK	81
Alexander Nübel	GK	81
Kevin Trapp	GK	81
Nick Pope	GK	81
David Soria	GK	81
Andriy Lunin	GK	81
Lucas Perri	GK	81
Rui Silva	GK	81
Lukáš Hrádecký	GK	81
Wladimiro Falcone	GK	81
Dávid Hancko	CB	83
Murillo	CB	83
Nathan Aké	CB	83
Piero Hincapié	CB	83
Ronald Araujo	CB	83
José María Giménez	CB	83
Gianluca Mancini	CB	83
Emre Can	CB	82
David Alaba	CB	82
Davinson Sánchez	CB	82
Micky van de Ven	CB	82
Ezri Konsa	CB	82
Dean Huijsen	CB	82
John Stones	CB	82
Manuel Akanji	CB	82
Waldemar Anton	CB	82
Kalidou Koulibaly	CB	82
Pau Cubarsí	CB	82
Marc Guéhi	CB	82
Nacho Fernández	CB	82
Alessandro Buongiorno	CB	82
Cristian Romero	CB	82
Robin Koch	CB	82
Ibañez	CB	82
Kim Min Jae	CB	82
Alessio Romagnoli	CB	82
Sven Botman	CB	82
Lisandro Martínez	CB	81
Edmond Tapsoba	CB	81
Evan Ndicka	CB	81
Gonçalo Inácio	CB	81
Leonardo Balerdi	CB	81
Mohamed Simakan	CB	81
Nayef Aguerd	CB	81
Fikayo Tomori	CB	81
Wilfried Singo	CB	80
Pierre Kalulu	CB	80
Maxence Lacroix	CB	79
Lukas Klostermann	CB	78
Abdukodir Khusanov	CB	77
Saúl Coco	CB	76
Moïse Bombito	CB	76
Jeremiah St. Juste	CB	76
Balde	LB	83
David Raum	LB	82
Milos Kerkez	LB	82
Maximilian Mittelstädt	LB	82
Andrew Robertson	LB	82
Antonee Robinson	LB	82
Carlos Augusto	LB	81
Miguel Gutiérrez	LB	81
Ferland Mendy	LB	81
Rayan Aït-Nouri	LB	81
Gayà	LB	81
Maxim De Cuyper	LB	80
Destiny Udogie	LB	80
Álvaro Carreras	LB	80
Javi Galán	LB	80
Lewis Hall	LB	80
Yuri Berchiche	LB	79
Andrea Cambiaso	LB	79
Ramy Bensebaini	LB	79
Ian Maatsen	LB	79
